id,team,scorer,R.STANTON,Z.KASSIAN,N.JENSEN,D.SEDIN,D.HAMHUIS,D.BOOTH,B.RICHARDSON,J.HANSEN,C.HIGGINS,S.MATTHIAS,H.SEDIN,K.BIEKSA,A.EDLER,A.BURROWS,C.TANEV,J.GARRISON,J.SCHROEDER,Y.WEBER,T.SESTITO,R.DIAZ,R.KESLER,Z.DALPE,D.WEISE,M.SANTORELLI,D.ARCHIBALD
1,VAN,B.RICHARDSON,1,2,0,0,1,0,0,1,1,1,0,2,1,0,0,2,0,0,0,0,0,0,2,2,1
2,VAN,Y.WEBER,0,1,1,2,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,VAN,Z.KASSIAN,2,0,0,1,1,4,3,0,2,0,0,4,2,0,0,2,0,0,0,0,1,0,0,0,0
4,VAN,D.BOOTH,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,0
5,VAN,D.SEDIN,2,0,0,0,2,0,0,2,0,0,7,1,3,0,4,1,0,0,0,0,4,0,0,0,0
6,VAN,R.KESLER,1,1,0,7,1,0,0,2,7,0,7,1,1,1,2,4,0,0,0,0,0,0,0,3,0
7,VAN,S.MATTHIAS,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,VAN,N.JENSEN,0,0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,VAN,A.EDLER,0,0,0,1,0,0,0,0,1,0,3,2,0,2,0,0,0,0,0,1,1,0,0,1,0
10,VAN,A.BURROWS,0,0,1,0,0,0,0,1,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0
11,VAN,J.HANSEN,0,0,0,4,1,0,0,0,1,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0
12,VAN,D.HAMHUIS,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,1
13,VAN,J.SCHROEDER,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,VAN,C.HIGGINS,0,0,0,0,2,0,1,1,0,0,1,2,1,1,2,3,1,2,0,0,4,0,1,7,0
15,VAN,H.SEDIN,2,0,1,7,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,3,0,1,0,0
16,VAN,C.TANEV,0,2,0,0,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
17,VAN,D.ARCHIBALD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,VAN,Z.DALPE,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0
19,VAN,J.GARRISON,1,0,0,3,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,VAN,R.DIAZ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,VAN,T.SESTITO,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0
22,VAN,K.BIEKSA,0,0,0,1,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
23,VAN,K.LAIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
24,VAN,M.SANTORELLI,2,0,0,0,0,1,0,0,3,0,1,1,0,1,1,3,0,0,0,0,1,0,0,0,0
25,VAN,D.WEISE,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
26,VAN,J.WELSH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,VAN,R.STANTON,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
